"variable","Estimate","Std..Error","z.value","Pr...z.."
"PAR_MFCC16",6.53642324321093,2.3335457082852,2.8010692998228,0.00509335799837549
"PAR_MFCC17",9.53836889860591,3.27210626034611,2.91505475057432,0.00355626148272205
"PAR_MFCC18",0.147940307304389,3.54575083174316,0.0417232666153416,0.966719306031887
"PAR_MFCC19",-8.67606171119718,3.93704017231907,-2.20370159598515,0.0275453368510432
"PAR_MFCC20",-5.05762926927683,3.45227531122381,-1.46501330668322,0.14291728731822
"PAR_THR_1RMS_TOT",-8.38036171152927,19.0197146382658,-0.44061448191598,0.65949211683562
"PAR_THR_2RMS_TOT",-119.599382124873,46.0051966231026,-2.59969288045197,0.00933072257000096
"PAR_THR_3RMS_TOT",-210.873719566337,106.036254890096,-1.98869452514051,0.0467349306653908
"PAR_THR_1RMS_10FR_MEAN",87.0978888749694,20.0073246756874,4.3533001181717,1.34103365150779e-05
"PAR_THR_1RMS_10FR_VAR",367.59547561718,424.070676308686,0.866825970654011,0.386037370107212
"PAR_THR_2RMS_10FR_MEAN",-21.9737209537061,45.063835005623,-0.487613203602496,0.62582384144016
"PAR_THR_2RMS_10FR_VAR",-5631.11941096185,3057.17769242189,-1.84193395919388,0.065484810519069
"PAR_THR_3RMS_10FR_MEAN",629.552556966032,143.438657056381,4.38900202975671,1.13872006694885e-05
"PAR_THR_3RMS_10FR_VAR",-28698.9617112807,15462.8713718417,-1.85599175089449,0.0634547338614706
"PAR_PEAK_RMS_TOT",0.0432223971247054,0.1323150602048,0.326662717439761,0.743923001715512
"PAR_PEAK_RMS10FR_MEAN",-0.0775326492172466,0.0251136357702253,-3.08727298295731,0.00202001998831396
"PAR_PEAK_RMS10FR_VAR",0.000157455923677304,6.82178210143919e-05,2.30813475622573,0.0209916425964938
"PAR_ZCD",-17.5482707030991,79.9958083707222,-0.219364877491776,0.82636582741311
"PAR_1RMS_TCD",2.5474123179185,43.5653204410638,0.0584733979258732,0.953371551608791
"PAR_2RMS_TCD",22.5533453719346,207.507382615332,0.108686954110655,0.9134507896631
"PAR_3RMS_TCD",692.729118351734,392.508897953017,1.76487494159853,0.0775847859860669
"PAR_ZCD_10FR_VAR",-866.464146014859,791.598355113797,-1.09457547557726,0.273702664647448
"PAR_1RMS_TCD_10FR_VAR",-646.887526554838,646.930861044265,-0.999933015269426,0.317342925636203
"PAR_2RMS_TCD_10FR_MEAN",174.204026467269,145.271967167191,1.1991578958023,0.230466555490481
"PAR_2RMS_TCD_10FR_VAR",-987.203873263543,2434.42724846663,-0.405517919619636,0.685096849158803
"PAR_3RMS_TCD_10FR_MEAN",-324.240073050066,344.017589024388,-0.942510160511241,0.345931511643259
"PAR_3RMS_TCD_10FR_VAR",2829.81166981918,6727.05640149393,0.420661207655512,0.674002491844971
